invoice_no,invoice_ref,amount,payment_method,balanced
E6882,,17492133.14,Advance,False
E6883,,17492130.84,Advance,False
E6884,,17492137.45,Advance,False
E6885,,17492140.82,Due,False
E6886,,17492153.36,Due,False
E6887,,17492155.69,Due,False
E6888,,17492157.83,Due,False
E6892,,17495558.25,Due,False
E6893,,17495567.16,Advance,False
E6894,,17495570.74,Advance,False
E6895,,17495576.16,Due,False
E6896,,17495578.71,Advance,False
E6897,,17495580.74,Due,False
E6906,,17498140.87,Due,False
E6907,,17498142.28,Due,False
E6908,,17498154.39,Due,False
E6909,,17498156.17,Advance,False
E6910,,17498160.78,Due,False
E6916,,17498214.99,Advance,False
E6917,,17498217.67,Due,False
E6922,,17501607.48,Due,False
E6923,,17501612.95,Due,False
E6924,,17501616.14,Advance,False
E6925,,17501618.96,Advance,False
E6926,,17501620.07,Advance,False
E6927,,17501621.4,Due,False
E6928,,17504216.76,Advance,False
E6929,,17501624.04,Due,False
E6930,,17501625.1,Due,False
E6931,,17501626.86,Due,False
E6934,,17504204.21,Due,False
E6936,,17504209.63,Advance,False
E6937,,17504213.66,Due,False
E6938,,17504218.39,Due,False
E6939,,17504219.23,Due,False
E6940,,17504220.31,Advance,False
E6941,,17504221.0,Due,False
E6942,,17504221.91,Advance,False
E6943,,17504386.56,Due,False
E6960,,17507634.3,Advance,False
E6961,,17507636.28,Due,False
E6962,,17507638.02,Due,False
E6963,,17507652.69,Due,False
E6964,,17507655.9,Advance,False
E6965,,17516243.79,Due,False
E6966,,17507659.85,Advance,False
E6967,,17507665.35,Due,False
E6983,,17510259.9,Due,False
E6984,,17510263.3,Advance,False
E6985,,17510266.13,Advance,False
E6986,,17510278.1,Advance,False
E6987,,17510279.54,Advance,False
E6988,,17510281.5,Due,False
E6989,,17510282.29,Due,False
E6990,,17510292.31,Due,False
E6993,,17514528.96,Advance,False
E6994,,17514549.39,Advance,False
E6995,,17514552.73,Due,False
E6996,,17514560.51,Advance,False
E6997,,17514564.07,Due,False
E7011,,17515461.97,Due,False
E7012,,17515462.25,Due,False
E7013,,17515462.7,Due,False
E7014,,17515463.04,Due,False
E7015,,17515464.03,Due,False
E7016,,17515464.31,Due,False
E7017,,17515464.7,Due,False
E7018,,17515464.92,Due,False
E7019,,17516265.84,Advance,False
E7020,,17516273.14,Due,False
E7021,,17516276.79,Advance,False
E7022,,17516277.82,Due,False
E7023,,17516278.56,Due,False
E7024,,17516280.68,Advance,False
E7034,,17516517.82,Due,False
E7035,,17516521.03,Due,False
E7041,,17519772.77,Advance,False
E7042,,17519775.08,Due,False
E7043,,17519774.93,Due,False
E7044,,17519796.96,Due,False
E7045,,17519800.16,Due,False
E7046,,17519811.13,Due,False
E7056,,17522388.96,Due,False
E7057,,17522390.55,Advance,False
E7058,,17522392.16,Due,False
E7059,,17522393.4,Due,False
E7061,,17522415.74,Due,False
E7062,,17522412.0,Advance,False
E7063,,17522415.12,Advance,False
E7064,,17522419.45,Due,False
E7065,,17522419.9,Due,False
